2025-03-19 22:14:13,131 INFO    StreamThr :91026 [internal.py:wandb_internal():85] W&B internal server running at pid: 91026, started at: 2025-03-19 22:14:13.131573
2025-03-19 22:14:13,133 DEBUG   HandlerThread:91026 [handler.py:handle_request():158] handle_request: status
2025-03-19 22:14:13,134 INFO    WriterThread:91026 [datastore.py:open_for_write():87] open: /home/zhongqi/Documents/workspace/G1_sim/wandb/run-20250319_221413-m7puic4v/run-m7puic4v.wandb
2025-03-19 22:14:13,135 DEBUG   SenderThread:91026 [sender.py:send():379] send: header
2025-03-19 22:14:13,137 DEBUG   SenderThread:91026 [sender.py:send():379] send: run
2025-03-19 22:14:13,575 INFO    SenderThread:91026 [dir_watcher.py:__init__():211] watching files in: /home/zhongqi/Documents/workspace/G1_sim/wandb/run-20250319_221413-m7puic4v/files
2025-03-19 22:14:13,575 INFO    SenderThread:91026 [sender.py:_start_run_threads():1188] run started: m7puic4v with start time 1742436853.131157
2025-03-19 22:14:13,581 DEBUG   HandlerThread:91026 [handler.py:handle_request():158] handle_request: check_version
2025-03-19 22:14:13,581 DEBUG   SenderThread:91026 [sender.py:send_request():406] send_request: check_version
2025-03-19 22:14:13,895 DEBUG   HandlerThread:91026 [handler.py:handle_request():158] handle_request: run_start
2025-03-19 22:14:13,901 DEBUG   HandlerThread:91026 [system_info.py:__init__():26] System info init
2025-03-19 22:14:13,901 DEBUG   HandlerThread:91026 [system_info.py:__init__():41] System info init done
2025-03-19 22:14:13,901 INFO    HandlerThread:91026 [system_monitor.py:start():194] Starting system monitor
2025-03-19 22:14:13,901 INFO    SystemMonitor:91026 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-03-19 22:14:13,901 INFO    HandlerThread:91026 [system_monitor.py:probe():214] Collecting system info
2025-03-19 22:14:13,902 INFO    SystemMonitor:91026 [interfaces.py:start():188] Started cpu monitoring
2025-03-19 22:14:13,903 INFO    SystemMonitor:91026 [interfaces.py:start():188] Started disk monitoring
2025-03-19 22:14:13,903 INFO    SystemMonitor:91026 [interfaces.py:start():188] Started gpu monitoring
2025-03-19 22:14:13,905 INFO    SystemMonitor:91026 [interfaces.py:start():188] Started memory monitoring
2025-03-19 22:14:13,905 INFO    SystemMonitor:91026 [interfaces.py:start():188] Started network monitoring
2025-03-19 22:14:13,913 DEBUG   HandlerThread:91026 [system_info.py:probe():152] Probing system
2025-03-19 22:14:13,916 DEBUG   HandlerThread:91026 [system_info.py:_probe_git():137] Probing git
2025-03-19 22:14:13,921 DEBUG   HandlerThread:91026 [system_info.py:_probe_git():145] Probing git done
2025-03-19 22:14:13,921 DEBUG   HandlerThread:91026 [system_info.py:probe():200] Probing system done
