Step:8200 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8300 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8400 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8500 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8600 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8700 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8800 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:8900 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:9000 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:9100 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9200 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9300 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9400 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9500 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9600 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9700 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9800 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:9900 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:10000 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:10100 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:10200 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:10300 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:10400 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:10500 K-loss:tensor([9.2734e-05], device='cuda:0', dtype=torch.float64)
Step:10600 K-loss:tensor([9.3561e-05], device='cuda:0', dtype=torch.float64)
Step:10700 K-loss:tensor([7.9010e-05], device='cuda:0', dtype=torch.float64)
Step:10800 K-loss:tensor([0.0003], device='cuda:0', dtype=torch.float64)
Step:10900 K-loss:tensor([6.2951e-05], device='cuda:0', dtype=torch.float64)
Step:11000 K-loss:tensor([6.2886e-05], device='cuda:0', dtype=torch.float64)
Step:11100 K-loss:tensor([4.9210e-05], device='cuda:0', dtype=torch.float64)
Step:11200 K-loss:tensor([6.8326e-05], device='cuda:0', dtype=torch.float64)
Step:11300 K-loss:tensor([4.4995e-05], device='cuda:0', dtype=torch.float64)
Step:11400 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:11500 K-loss:tensor([5.9195e-05], device='cuda:0', dtype=torch.float64)
Step:11600 K-loss:tensor([4.0841e-05], device='cuda:0', dtype=torch.float64)
Step:11700 K-loss:tensor([3.9700e-05], device='cuda:0', dtype=torch.float64)
Step:11800 K-loss:tensor([4.2239e-05], device='cuda:0', dtype=torch.float64)
Step:11900 K-loss:tensor([3.8142e-05], device='cuda:0', dtype=torch.float64)
Step:12000 K-loss:tensor([2.8380e-05], device='cuda:0', dtype=torch.float64)
Step:12100 K-loss:tensor([7.7227e-05], device='cuda:0', dtype=torch.float64)
Step:12200 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:12300 K-loss:tensor([7.6377e-05], device='cuda:0', dtype=torch.float64)
Step:12400 K-loss:tensor([1.7647e-05], device='cuda:0', dtype=torch.float64)
Step:12500 K-loss:tensor([1.6713e-05], device='cuda:0', dtype=torch.float64)
Step:12600 K-loss:tensor([4.7765e-05], device='cuda:0', dtype=torch.float64)
Step:12700 K-loss:tensor([2.3124e-05], device='cuda:0', dtype=torch.float64)
Step:12800 K-loss:tensor([2.1277e-05], device='cuda:0', dtype=torch.float64)
Step:12900 K-loss:tensor([6.7871e-05], device='cuda:0', dtype=torch.float64)
Step:13000 K-loss:tensor([3.4254e-05], device='cuda:0', dtype=torch.float64)
Step:13100 K-loss:tensor([1.4776e-05], device='cuda:0', dtype=torch.float64)
Step:13200 K-loss:tensor([2.6766e-05], device='cuda:0', dtype=torch.float64)
Step:13300 K-loss:tensor([2.4129e-05], device='cuda:0', dtype=torch.float64)
Step:13400 K-loss:tensor([1.8421e-05], device='cuda:0', dtype=torch.float64)
Step:13500 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:13600 K-loss:tensor([8.2574e-05], device='cuda:0', dtype=torch.float64)
Step:13700 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:13800 K-loss:tensor([3.4879e-05], device='cuda:0', dtype=torch.float64)
Step:13900 K-loss:tensor([1.4193e-05], device='cuda:0', dtype=torch.float64)
Step:14000 K-loss:tensor([4.3058e-05], device='cuda:0', dtype=torch.float64)
Step:14100 K-loss:tensor([1.1088e-05], device='cuda:0', dtype=torch.float64)
Step:14200 K-loss:tensor([7.3895e-06], device='cuda:0', dtype=torch.float64)
Step:14300 K-loss:tensor([1.0804e-05], device='cuda:0', dtype=torch.float64)
Step:14400 K-loss:tensor([2.2799e-05], device='cuda:0', dtype=torch.float64)
Step:14500 K-loss:tensor([4.0149e-05], device='cuda:0', dtype=torch.float64)
Step:14600 K-loss:tensor([4.6644e-05], device='cuda:0', dtype=torch.float64)
Step:14700 K-loss:tensor([6.1178e-05], device='cuda:0', dtype=torch.float64)
Step:14800 K-loss:tensor([9.3403e-06], device='cuda:0', dtype=torch.float64)
Step:14900 K-loss:tensor([3.2683e-05], device='cuda:0', dtype=torch.float64)
Step:15000 K-loss:tensor([6.3747e-06], device='cuda:0', dtype=torch.float64)
Step:15100 K-loss:tensor([6.2349e-06], device='cuda:0', dtype=torch.float64)
Step:15200 K-loss:tensor([7.7442e-06], device='cuda:0', dtype=torch.float64)
Step:15300 K-loss:tensor([4.7580e-05], device='cuda:0', dtype=torch.float64)
Step:15400 K-loss:tensor([4.0328e-05], device='cuda:0', dtype=torch.float64)
Step:15500 K-loss:tensor([1.5393e-05], device='cuda:0', dtype=torch.float64)
Step:15600 K-loss:tensor([4.0177e-05], device='cuda:0', dtype=torch.float64)
Step:15700 K-loss:tensor([7.3952e-06], device='cuda:0', dtype=torch.float64)
Step:15800 K-loss:tensor([8.7059e-06], device='cuda:0', dtype=torch.float64)
Step:15900 K-loss:tensor([1.4090e-05], device='cuda:0', dtype=torch.float64)
Step:16000 K-loss:tensor([0.0001], device='cuda:0', dtype=torch.float64)
Step:16100 K-loss:tensor([1.3092e-05], device='cuda:0', dtype=torch.float64)
Step:16200 K-loss:tensor([9.8042e-05], device='cuda:0', dtype=torch.float64)
Step:16300 K-loss:tensor([6.6014e-06], device='cuda:0', dtype=torch.float64)
Step:16400 K-loss:tensor([8.2356e-06], device='cuda:0', dtype=torch.float64)
Step:16500 K-loss:tensor([4.8851e-05], device='cuda:0', dtype=torch.float64)
Step:16600 K-loss:tensor([1.1877e-05], device='cuda:0', dtype=torch.float64)
Step:16700 K-loss:tensor([3.4052e-05], device='cuda:0', dtype=torch.float64)
Step:16800 K-loss:tensor([3.9383e-05], device='cuda:0', dtype=torch.float64)
Step:16900 K-loss:tensor([2.6858e-05], device='cuda:0', dtype=torch.float64)
Step:17000 K-loss:tensor([6.8662e-05], device='cuda:0', dtype=torch.float64)
Step:17100 K-loss:tensor([6.6402e-06], device='cuda:0', dtype=torch.float64)
Step:17200 K-loss:tensor([1.0282e-05], device='cuda:0', dtype=torch.float64)
Step:17300 K-loss:tensor([4.7421e-05], device='cuda:0', dtype=torch.float64)
Step:17400 K-loss:tensor([9.7727e-06], device='cuda:0', dtype=torch.float64)
Step:17500 K-loss:tensor([6.1016e-06], device='cuda:0', dtype=torch.float64)
Step:17600 K-loss:tensor([8.1964e-05], device='cuda:0', dtype=torch.float64)
Step:17700 K-loss:tensor([7.4286e-05], device='cuda:0', dtype=torch.float64)
Step:17800 K-loss:tensor([5.0448e-05], device='cuda:0', dtype=torch.float64)
Step:17900 K-loss:tensor([1.3564e-05], device='cuda:0', dtype=torch.float64)
Step:18000 K-loss:tensor([6.2690e-06], device='cuda:0', dtype=torch.float64)
Step:18100 K-loss:tensor([3.2543e-06], device='cuda:0', dtype=torch.float64)
Step:18200 K-loss:tensor([7.0206e-06], device='cuda:0', dtype=torch.float64)
Step:18300 K-loss:tensor([1.0403e-05], device='cuda:0', dtype=torch.float64)
Step:18400 K-loss:tensor([2.4649e-05], device='cuda:0', dtype=torch.float64)
Step:18500 K-loss:tensor([2.8609e-05], device='cuda:0', dtype=torch.float64)
Step:18600 K-loss:tensor([2.2504e-05], device='cuda:0', dtype=torch.float64)
Step:18700 K-loss:tensor([2.2382e-05], device='cuda:0', dtype=torch.float64)
Step:18800 K-loss:tensor([8.3710e-05], device='cuda:0', dtype=torch.float64)
Step:18900 K-loss:tensor([5.3297e-06], device='cuda:0', dtype=torch.float64)
Step:19000 K-loss:tensor([4.1838e-06], device='cuda:0', dtype=torch.float64)
Step:19100 K-loss:tensor([5.3673e-06], device='cuda:0', dtype=torch.float64)
Step:19200 K-loss:tensor([3.2223e-05], device='cuda:0', dtype=torch.float64)
Step:19300 K-loss:tensor([6.7300e-06], device='cuda:0', dtype=torch.float64)
Step:19400 K-loss:tensor([2.1848e-05], device='cuda:0', dtype=torch.float64)
Step:19500 K-loss:tensor([1.9999e-05], device='cuda:0', dtype=torch.float64)
Step:19600 K-loss:tensor([5.1358e-06], device='cuda:0', dtype=torch.float64)
Step:19700 K-loss:tensor([5.6052e-06], device='cuda:0', dtype=torch.float64)
Step:19800 K-loss:tensor([1.5612e-05], device='cuda:0', dtype=torch.float64)
Step:19900 K-loss:tensor([5.9149e-06], device='cuda:0', dtype=torch.float64)
Step:20000 K-loss:tensor([3.7417e-06], device='cuda:0', dtype=torch.float64)
Step:20100 K-loss:tensor([4.2989e-06], device='cuda:0', dtype=torch.float64)
Step:20200 K-loss:tensor([6.3040e-06], device='cuda:0', dtype=torch.float64)
Step:20300 K-loss:tensor([2.0870e-05], device='cuda:0', dtype=torch.float64)
Step:20400 K-loss:tensor([2.4024e-05], device='cuda:0', dtype=torch.float64)
Step:20500 K-loss:tensor([3.2333e-05], device='cuda:0', dtype=torch.float64)
Step:20600 K-loss:tensor([1.1293e-05], device='cuda:0', dtype=torch.float64)
Step:20700 K-loss:tensor([7.6073e-06], device='cuda:0', dtype=torch.float64)
Step:20800 K-loss:tensor([3.8077e-05], device='cuda:0', dtype=torch.float64)
Step:20900 K-loss:tensor([9.8374e-06], device='cuda:0', dtype=torch.float64)
Step:21000 K-loss:tensor([3.1328e-05], device='cuda:0', dtype=torch.float64)
Step:21100 K-loss:tensor([3.3608e-06], device='cuda:0', dtype=torch.float64)
Step:21200 K-loss:tensor([2.9361e-05], device='cuda:0', dtype=torch.float64)
Step:21300 K-loss:tensor([4.1161e-06], device='cuda:0', dtype=torch.float64)
Step:21400 K-loss:tensor([4.1913e-06], device='cuda:0', dtype=torch.float64)
Step:21500 K-loss:tensor([4.9965e-06], device='cuda:0', dtype=torch.float64)
Step:21600 K-loss:tensor([7.5899e-06], device='cuda:0', dtype=torch.float64)
Step:21700 K-loss:tensor([9.0603e-05], device='cuda:0', dtype=torch.float64)
Step:21800 K-loss:tensor([2.6661e-05], device='cuda:0', dtype=torch.float64)
Step:21900 K-loss:tensor([2.5061e-06], device='cuda:0', dtype=torch.float64)
Step:22000 K-loss:tensor([4.4922e-06], device='cuda:0', dtype=torch.float64)
Step:22100 K-loss:tensor([2.7136e-06], device='cuda:0', dtype=torch.float64)
Step:22200 K-loss:tensor([2.9166e-06], device='cuda:0', dtype=torch.float64)
Step:22300 K-loss:tensor([8.8004e-06], device='cuda:0', dtype=torch.float64)
Step:22400 K-loss:tensor([5.3743e-06], device='cuda:0', dtype=torch.float64)
Step:22500 K-loss:tensor([4.1568e-06], device='cuda:0', dtype=torch.float64)
Step:22600 K-loss:tensor([1.4217e-05], device='cuda:0', dtype=torch.float64)
Step:22700 K-loss:tensor([3.0603e-05], device='cuda:0', dtype=torch.float64)
Step:22800 K-loss:tensor([4.1031e-06], device='cuda:0', dtype=torch.float64)
Step:22900 K-loss:tensor([1.9614e-05], device='cuda:0', dtype=torch.float64)
Step:23000 K-loss:tensor([9.7966e-06], device='cuda:0', dtype=torch.float64)
Step:23100 K-loss:tensor([7.0679e-06], device='cuda:0', dtype=torch.float64)
Step:23200 K-loss:tensor([0.0002], device='cuda:0', dtype=torch.float64)
Step:23300 K-loss:tensor([1.7164e-05], device='cuda:0', dtype=torch.float64)
Step:23400 K-loss:tensor([2.1451e-06], device='cuda:0', dtype=torch.float64)
Step:23500 K-loss:tensor([2.1949e-06], device='cuda:0', dtype=torch.float64)
Step:23600 K-loss:tensor([1.5852e-05], device='cuda:0', dtype=torch.float64)
Step:23700 K-loss:tensor([1.9605e-05], device='cuda:0', dtype=torch.float64)
Step:23800 K-loss:tensor([3.9379e-06], device='cuda:0', dtype=torch.float64)
Step:23900 K-loss:tensor([1.7872e-05], device='cuda:0', dtype=torch.float64)
Step:24000 K-loss:tensor([1.4453e-05], device='cuda:0', dtype=torch.float64)
Step:24100 K-loss:tensor([2.0802e-06], device='cuda:0', dtype=torch.float64)
Step:24200 K-loss:tensor([3.2277e-06], device='cuda:0', dtype=torch.float64)
Step:24300 K-loss:tensor([6.2743e-05], device='cuda:0', dtype=torch.float64)
Step:24400 K-loss:tensor([2.2954e-05], device='cuda:0', dtype=torch.float64)
Step:24500 K-loss:tensor([1.9198e-06], device='cuda:0', dtype=torch.float64)
Step:24600 K-loss:tensor([2.7715e-05], device='cuda:0', dtype=torch.float64)
Step:24700 K-loss:tensor([2.1167e-06], device='cuda:0', dtype=torch.float64)
Step:24800 K-loss:tensor([2.8398e-06], device='cuda:0', dtype=torch.float64)
Step:24900 K-loss:tensor([2.5614e-06], device='cuda:0', dtype=torch.float64)
Step:25000 K-loss:tensor([2.7035e-06], device='cuda:0', dtype=torch.float64)
Step:25100 K-loss:tensor([1.6757e-05], device='cuda:0', dtype=torch.float64)
Step:25200 K-loss:tensor([3.2767e-06], device='cuda:0', dtype=torch.float64)
Step:25300 K-loss:tensor([3.8335e-06], device='cuda:0', dtype=torch.float64)
Step:25400 K-loss:tensor([4.7128e-06], device='cuda:0', dtype=torch.float64)
Step:25500 K-loss:tensor([4.7342e-06], device='cuda:0', dtype=torch.float64)
Step:25600 K-loss:tensor([5.8850e-06], device='cuda:0', dtype=torch.float64)
Step:25700 K-loss:tensor([2.9054e-06], device='cuda:0', dtype=torch.float64)
Step:25800 K-loss:tensor([2.8651e-06], device='cuda:0', dtype=torch.float64)
Step:25900 K-loss:tensor([4.1772e-06], device='cuda:0', dtype=torch.float64)
Step:26000 K-loss:tensor([2.8029e-05], device='cuda:0', dtype=torch.float64)
Step:26100 K-loss:tensor([1.1667e-05], device='cuda:0', dtype=torch.float64)
Step:26200 K-loss:tensor([4.1073e-06], device='cuda:0', dtype=torch.float64)
Step:26300 K-loss:tensor([9.3005e-06], device='cuda:0', dtype=torch.float64)
Step:26400 K-loss:tensor([4.5227e-05], device='cuda:0', dtype=torch.float64)
Step:26500 K-loss:tensor([7.3144e-06], device='cuda:0', dtype=torch.float64)
Step:26600 K-loss:tensor([2.0196e-06], device='cuda:0', dtype=torch.float64)
Step:26700 K-loss:tensor([5.4674e-06], device='cuda:0', dtype=torch.float64)
Step:26800 K-loss:tensor([5.9856e-06], device='cuda:0', dtype=torch.float64)
Step:26900 K-loss:tensor([1.4456e-05], device='cuda:0', dtype=torch.float64)
Step:27000 K-loss:tensor([2.1728e-06], device='cuda:0', dtype=torch.float64)
Step:27100 K-loss:tensor([2.5365e-06], device='cuda:0', dtype=torch.float64)
Step:27200 K-loss:tensor([2.4068e-06], device='cuda:0', dtype=torch.float64)
Step:27300 K-loss:tensor([6.5729e-06], device='cuda:0', dtype=torch.float64)
Step:27400 K-loss:tensor([2.9171e-06], device='cuda:0', dtype=torch.float64)
Step:27500 K-loss:tensor([1.0431e-05], device='cuda:0', dtype=torch.float64)
Step:27600 K-loss:tensor([5.7166e-05], device='cuda:0', dtype=torch.float64)
Step:27700 K-loss:tensor([1.9430e-06], device='cuda:0', dtype=torch.float64)
Step:27800 K-loss:tensor([1.6676e-06], device='cuda:0', dtype=torch.float64)
Step:27900 K-loss:tensor([3.3225e-06], device='cuda:0', dtype=torch.float64)
Step:28000 K-loss:tensor([1.9317e-06], device='cuda:0', dtype=torch.float64)
Step:28100 K-loss:tensor([7.2178e-06], device='cuda:0', dtype=torch.float64)
Step:28200 K-loss:tensor([9.2151e-06], device='cuda:0', dtype=torch.float64)
Step:28300 K-loss:tensor([3.5196e-06], device='cuda:0', dtype=torch.float64)
Step:28400 K-loss:tensor([1.2794e-05], device='cuda:0', dtype=torch.float64)
Step:28500 K-loss:tensor([7.3854e-06], device='cuda:0', dtype=torch.float64)
Step:28600 K-loss:tensor([1.7640e-06], device='cuda:0', dtype=torch.float64)
Step:28700 K-loss:tensor([6.3638e-06], device='cuda:0', dtype=torch.float64)
Step:28800 K-loss:tensor([3.3892e-06], device='cuda:0', dtype=torch.float64)
Step:28900 K-loss:tensor([3.3486e-06], device='cuda:0', dtype=torch.float64)
Step:29000 K-loss:tensor([8.8613e-06], device='cuda:0', dtype=torch.float64)
Step:29100 K-loss:tensor([2.7016e-06], device='cuda:0', dtype=torch.float64)
